"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"SPO: sport";"pauze . </s><s> I v Plzni to nebylo špatné ,  prohře";"navzdory";", “ připomínal . </s><s> „ Sedlo si to . </s><s> Výborná"
"es: španělština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"kostnatými obličeji zbrocenými potem a slzami , kteří se  všemu";"navzdory";"usmívají , aby jí poskytli útěchu . </s><s> Úsměvy chudých v"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"podmínkách odmítají lovit i chodit , a když se  mužstvu";"navzdory";"vydá Cavendish ven sám , vrátí se o hodinu později"
"en: angličtina";"NFC: oborová literatura";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"tomu jen chabé dispozice . </s><s> Naše činnost se rozvinula  mně";"navzdory";"a především jako výsledek celé řady neočekávaných událostí a setkání"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"REG: regionální tisk";"jednatřicetiletý ofenzivní hráč byl přeřazen do béčka . </s><s> VÝHRA  KAUZE";"NAVZDORY";". </s>  <s> Tohle se stalo ještě před důležitým soubojem proti Liberci"
"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"MIX: společnost";"NEBO „ OMEZOVÁNÍ OSOBNÍ SVOBODY “ . </s><s> SCÉNÁŘ 1 </s>  <s> ZÁKONU";"NAVZDORY";"</s>  <s> Zpřísnění právní kvalifikace pojmu znásilnění toho změní jen málo a"
"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"MIX: společnost";"které mohou vrozené dispozice zesilovat nebo zeslabovat . </s><s> Prostě  vědě";"navzdory";"bude zřejmě pořád tak trochu platit to stokrát omílané ,"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"se zdržel pouhý jeden den . </s><s> Zelený byznys kvete  policii";"navzdory";"</s>  <s> Spektakulární zásah proti provozovatelům growshopů je z české mapy nevymazal"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"ale byl , dalo by se říct , sobě  samému";"navzdory";". </s>  <s> Jeho angažovanost neplynula u něj ze společenské ambice a"
"cs: čeština";"NFC: oborová literatura";"PRO: profesní literatura";"SSC: sociální vědy";"ECO: ekonomie, obchod, logistika";", stejně jako komentář , proč by – tomu  všemu";"navzdory";"– nebylo dobré Řeky z eura vyhodit . </s><s> Jen tak"
"cs: čeština";"NFC: oborová literatura";"SCI: odborná literatura";"HUM: humanitní vědy";"LAN: filologie";"/ Stačí zavřít víčka / Zatnout zuby všem a  všemu";"navzdory";"/ On se vrátí / vysadí mě na koníčka /"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"REG: regionální tisk";", že naše země zůstane i v budoucnu ,  všemu";"navzdory";", opakuji , všemu navzdory , součástí Evropské unie ,"
"en: angličtina";"NFC: oborová literatura";"SCI: odborná literatura";"HUM: humanitní vědy";"HIS: historie, biografie";"mnoho let na probuzení duše , „ jež se  všemu";"navzdory";"zdálo být pravděpodobnější na straně postupu vstříc budoucnosti a na"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"mít především se svým bratrem Darem , který je  všemu";"navzdory";"stále přesvědčen , že všichni Caveovi si své prokletí a"
"cs: čeština";"FIC: beletrie";"VER: poezie";"X: neuvedeno";"X: neuvedeno";"by prázdno hladu radši uvítal , než aby trval  sobě";"navzdory";". </s>  <s> Trýznivý sen </s><s> Zdá se mi občas trýznivý sen ,"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"REG: regionální tisk";"i v budoucnu , všemu navzdory , opakuji ,  všemu";"navzdory";", součástí Evropské unie , Severoatlantické aliance , zkrátka západního"
"cs: čeština";"NFC: oborová literatura";"PRO: profesní literatura";"NAT: přírodní vědy";"MED: lékařství";"lidé , kteří „ zajetým “ kolejím a veřejnému  mínění";"navzdory";"chtějí věci dělat jinak a posouvat tak péči dopředu . </s>"
"cs: čeština";"FIC: beletrie";"VER: poezie";"X: neuvedeno";"X: neuvedeno";"mlýnů do šiku . </s><s> A neštěkl pes . </s><s> Nissan </s>  <s> Čemu";"navzdory";"</s>  <s> v širokoplecé aleji ? </s><s> Za nějakou vsí jsem tě milovala </s>"
"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"INT: zajímavosti ze světa";"sochy z ledu . </s><s> AFGHÁNSKÉ CYKLISTKY : KRÁLOVNY SILNIC  VŠEMU";"NAVZDORY";"</s>  <s> Členky afghánského reprezentačního týmu ženské silniční cyklistiky nešlapou jen proti"
"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"LIF: životní styl";"<s> Sportovní podprsenka , adidas , 1099 Kč 4 . </s>  <s> SLUNCI";"NAVZDORY";"Kšiltovka z jarní running kolekce s reflexním pásem bude stínit"
"cs: čeština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"za všech okolností ! </s><s> Hynek by se voněl každé  tragédii";"navzdory";"! </s>  <s> Jeho vůně , to je její přístav . </s><s> Všechny"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"letošní kampaně pro něj nebyla řeč v americkém Kongresu  Obamovi";"navzdory";"ani skandálky kolem jeho domácnosti . </s><s> Ve skutečnosti to byla"
"cs: čeština";"FIC: beletrie";"VER: poezie";"X: neuvedeno";"X: neuvedeno";"než proud . </s><s> Prudce kupředu a v tom už  sobě";"navzdory";", strmě proti svému toku . </s><s> Ze svého opaku síly"
"cs: čeština";"FIC: beletrie";"VER: poezie";"X: neuvedeno";"X: neuvedeno";"během přednášky nachodí šest až osm kilometrů </s><s> svejm jaterním  kruhům";"navzdory";"</s>  <s> Všichni kolem mě maj kruhy pod očima </s><s> Kruhy pod očima"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"s takzvanou rychlou módou se totiž daří všem geopolitickým  krizím";"navzdory";". </s>  <s> A třeba obrat španělské skupiny Inditex , největšího maloobchodního"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"zvolí Blattera do svého čela i popáté , všem  skandálům";"navzdory";", přitom musel počítat . </s><s> I základní znalosti aritmetiky bohatě"
"fr: francouzština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"<s> Žluklému pachu krve , dívčinu šílenství a hlavně sobě  samému";"navzdory";"to Marca dojímá . </s><s> Díval se na něj takhle vůbec"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";", že to nejspíš není díky škole , ale  škole";"navzdory";". </s>  <s> LN Radikální kritici současné podoby vzdělávání často používají slovo"
"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"občany k veřejnému blahu , třebas i násilím a  jim";"navzdory";", se vzdal jakékoliv snahy a rodinu a manželství spíše"
